customerinstallationid,hostname
12233,groupm-corp-uat-eae01.m2phx1.jivehosted.com
12233,groupm-corp-uat-wa01.m2phx1.jivehosted.com
12233,groupm-corp-uat-wa02.m2phx1.jivehosted.com
12234,mindshareworld-uat-db.m2phx1.jivehosted.com
12234,mindshareworld-uat-eaedb.m2phx1.jivehosted.com
12234,mindshareworld-uat-cs01.m2phx1.jivehosted.com
9090,jive-hosting6test-wa02.m2phx1.jivehosted.com
12234,mindshareworld-uat-eae01.m2phx1.jivehosted.com
3009,repwireless-eae01.m1phx1.jivehosted.com
3009,repwireless-wa01.m1phx1.jivehosted.com
3009,repwireless-wa02.m1phx1.jivehosted.com
12234,mindshareworld-uat-wa01.m2phx1.jivehosted.com
12234,mindshareworld-uat-wa02.m2phx1.jivehosted.com
13592,directv-inc-ext-wa01.m1phx1.jivehosted.com
7394,resource-interactive-uat-eaedb.m2phx1.jivehosted.com
4086,ccc-alliance-uat-db.m1phx1.jivehosted.com
3313,thunder811.m1phx1.jivehosted.com
7394,resource-interactive-uat-cs01.m2phx1.jivehosted.com
6503,newscorp-db.m2phx1.jivehosted.com
6503,newscorp-cs01.m2phx1.jivehosted.com
6503,newscorp-wa01.m2phx1.jivehosted.com
7394,resource-interactive-uat-eae01.m2phx1.jivehosted.com
6503,newscorp-wa02.m2phx1.jivehosted.com
7394,resource-interactive-uat-wa01.m2phx1.jivehosted.com
7394,resource-interactive-uat-wa02.m2phx1.jivehosted.com
4255,thunder1729.m1phx1.jivehosted.com
7528,strongmail-emp-cs01.m2phx1.jivehosted.com
7528,strongmail-emp-db.m2phx1.jivehosted.com
7528,strongmail-emp-eaedb.m2phx1.jivehosted.com
7528,strongmail-emp-eae01.m2phx1.jivehosted.com
4086,ccc-alliance-uat-cs01.m1phx1.jivehosted.com
4086,ccc-alliance-uat-wa01.m1phx1.jivehosted.com
4086,ccc-alliance-uat-wa02.m1phx1.jivehosted.com
9233,thunder8715.m1phx1.jivehosted.com
4566,hp-discover-db.m1phx1.jivehosted.com
4566,hp-discover-eaedb.m1phx1.jivehosted.com
4566,hp-discover-cs01.m1phx1.jivehosted.com
4566,hp-discover-eae01.m1phx1.jivehosted.com
7550,greatamerican-wa02.m2phx1.jivehosted.com
4833,cfe-uat-cs01.m1phx1.jivehosted.com
4833,cfe-uat-eae01.m1phx1.jivehosted.com
4833,cfe-uat-wa01.m1phx1.jivehosted.com
4833,cfe-uat-wa02.m1phx1.jivehosted.com
5878,thunder3358.m1phx1.jivehosted.com
9569,millwardbrown-int-eaedb.m2phx1.jivehosted.com
9569,millwardbrown-int-cs01.m2phx1.jivehosted.com
2875,bridgepointeducation-uat-db.m1phx1.jivehosted.com
2875,bridgepointeducation-uat-eaedb.m1phx1.jivehosted.com
2875,bridgepointeducation-uat-cs01.m1phx1.jivehosted.com
2837,worldbank-wa03.m1phx1.jivehosted.com
3010,repwireless-uat-db.m1phx1.jivehosted.com
4087,verisigninc-uat-db.m1phx1.jivehosted.com
3010,repwireless-uat-eaedb.m1phx1.jivehosted.com
3010,repwireless-uat-cs01.m1phx1.jivehosted.com
3010,repwireless-uat-eae01.m1phx1.jivehosted.com
3010,repwireless-uat-wa01.m1phx1.jivehosted.com
3010,repwireless-uat-wa02.m1phx1.jivehosted.com
3187,thunder676.m1phx1.jivehosted.com
7528,strongmail-emp-wa01.m2phx1.jivehosted.com
10355,ariba-inc-eae01.m2phx1.jivehosted.com
7842,thomsonreuters-ls-eae01.m1phx1.jivehosted.com
10355,ariba-inc-wa01.m2phx1.jivehosted.com
7866,thunder5480.m1phx1.jivehosted.com
9569,millwardbrown-int-wa02.m2phx1.jivehosted.com
4187,npslf-db.m1phx1.jivehosted.com
4187,npslf-eaedb.m1phx1.jivehosted.com
4187,npslf-cs01.m1phx1.jivehosted.com
4187,npslf-eae01.m1phx1.jivehosted.com
10588,thunder11144.m1phx1.jivehosted.com
4566,hp-discover-wa01.m1phx1.jivehosted.com
4566,hp-discover-wa02.m1phx1.jivehosted.com
4833,cfe-uat-db.m1phx1.jivehosted.com
5304,freescale-phx-wa02.m1phx1.jivehosted.com
5562,cbaustralia-uat-wa02.m1phx1.jivehosted.com
16993,thunder21075.m1phx1.jivehosted.com
2875,bridgepointeducation-uat-eae01.m1phx1.jivehosted.com
2875,bridgepointeducation-uat-wa01.m1phx1.jivehosted.com
2875,bridgepointeducation-uat-wa02.m1phx1.jivehosted.com
13592,directv-inc-ext-wa02.m1phx1.jivehosted.com
4087,verisigninc-uat-cs01.m1phx1.jivehosted.com
4087,verisigninc-uat-wa01.m1phx1.jivehosted.com
4087,verisigninc-uat-wa02.m1phx1.jivehosted.com
3188,thunder677.m1phx1.jivehosted.com
